feature,coef,abs_coef
T_x_FTA_global_rate,0.9431276474435324,0.9431276474435324
FTA_w10_mean,0.2947004809082025,0.2947004809082025
T_x_FGM_w10_rate,0.19767783426937313,0.19767783426937313
T_x_FGA_w5_rate,0.18545440573145225,0.18545440573145225
T_x_FTM_w10_rate,0.1833908276410488,0.1833908276410488
T_x_FTA_w5_rate,0.17500887512810026,0.17500887512810026
MIN_w5_mean,-0.13565808980463975,0.13565808980463975
FTA_global_rate,-0.11935959154548953,0.11935959154548953
T_x_FTM_global_rate,0.10215732443848635,0.10215732443848635
T_x_TOV_global_rate,0.09216390129388531,0.09216390129388531
T_x_FG3M_w5_rate,-0.07633114274193395,0.07633114274193395
HISTORY_GAMES,0.07023365326274798,0.07023365326274798
FTA_w10_rate,-0.05642903168481147,0.05642903168481147
T_x_FGA_w10_rate,0.05568957573054206,0.05568957573054206
MIN_w10_mean,-0.04644727696316326,0.04644727696316326
OPP_ALLOWED_PACE_w10_mean,0.04409311904736355,0.04409311904736355
T_MIN,0.04086142096499442,0.04086142096499442
OPP_ALLOWED_FG3M_global_mean,-0.04040261669322347,0.04040261669322347
OPP_ALLOWED_BLK_global_mean,0.03992213183246525,0.03992213183246525
OPP_ALLOWED_FG_PCT_w5_mean,0.0386774318117311,0.0386774318117311
T_x_AST_w5_rate,0.03863155156133917,0.03863155156133917
FTM_w10_rate,-0.037797929627029,0.037797929627029
REST_DAYS,0.03699993757726589,0.03699993757726589
AST_global_rate,-0.035813185712286116,0.035813185712286116
OPP_ALLOWED_PTS_global_mean,0.0332406035911288,0.0332406035911288
T_x_TOV_w10_rate,0.0324398345624418,0.0324398345624418
FG3A_global_mean,-0.03135558234444524,0.03135558234444524
T_x_FGM_w5_rate,0.026542335779487416,0.026542335779487416
TEAM_PACE_w10_mean,0.024446748687808367,0.024446748687808367
TEAM_PTS_global_mean,-0.024026916300339988,0.024026916300339988
FGA_global_rate,-0.022826081763528346,0.022826081763528346
PLUS_MINUS_global_mean,0.021964773078001123,0.021964773078001123
PTS_global_rate,-0.02170505627699467,0.02170505627699467
T_x_OREB_w5_rate,-0.02093103452978805,0.02093103452978805
T_x_OREB_w10_rate,-0.02008631143972299,0.02008631143972299
FTA_global_mean,0.0197226176071314,0.0197226176071314
TEAM_FG3M_w5_mean,0.019027651205428937,0.019027651205428937
FGA_w10_rate,0.018549459698653722,0.018549459698653722
TEAM_REB_w5_mean,-0.018356015203868613,0.018356015203868613
TEAM_PTS_w5_mean,-0.01811204870295475,0.01811204870295475
FG3A_global_rate,-0.018093039521900414,0.018093039521900414
OPP_ALLOWED_AST_w5_mean,-0.017785297475879605,0.017785297475879605
DREB_global_var,0.01648530932074377,0.01648530932074377
OPP_ALLOWED_BLK_w10_var,-0.016460168712737363,0.016460168712737363
BLK_global_var,0.015495764977812585,0.015495764977812585
FTM_w5_rate,-0.014980401543436913,0.014980401543436913
FG3M_w10_rate,-0.01463537174329369,0.01463537174329369
OPP_ALLOWED_STL_global_var,-0.014553903250721542,0.014553903250721542
OPP_ALLOWED_AST_global_mean,-0.01369543937740369,0.01369543937740369
OPP_ALLOWED_BLK_w10_mean,0.01340399744513098,0.01340399744513098
